codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2023,15.03,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2024,5.57,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Nov-2025,5.8,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2025,6.27,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Ene-2026,6.02,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2023,-0.18,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2024,6.45,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Nov-2025,4.74,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2025,5.18,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Ene-2026,6.27,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2023,-0.18,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2024,-2.03,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Nov-2025,3.95,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2025,4.26,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Ene-2026,5.04,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2023,0.12,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2024,0.05,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Nov-2025,1.7,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2025,1.66,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Ene-2026,1.79,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2023,0.2,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2024,0.09,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Nov-2025,4.56,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2025,3.76,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Ene-2026,3.89,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2023,99.94,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2024,76.2,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Nov-2025,62.14,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2025,54.25,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Ene-2026,54.07,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2023,0.06,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2024,23.8,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Nov-2025,43.11,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2025,49.61,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Ene-2026,45.93,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Dic-2023,253.78,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Dic-2024,1334.17,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Nov-2025,49.2,2026-04-19
